App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,7-Jan-18,1.0.0,4.0.3 and up
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25M,"100,000+",Free,0,Everyone,Auto & Vehicles,10-May-18,1,4.0.3 and up
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17M,"500,000+",Free,0,Everyone,Beauty,2-Aug-18,6.10.1,5.0 and up
Wattpad ðŸ“– Free Books,BOOKS_AND_REFERENCE,4.6,2914724,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,1-Aug-18,Varies with device,Varies with device
Visual Voicemail by MetroPCS,BUSINESS,4.1,16129,Varies with device,"10,000,000+",Free,0,Everyone,Business,30-Jul-18,Varies with device,Varies with device
LINE WEBTOON - Free Comics,COMICS,4.5,1013635,Varies with device,"10,000,000+",Free,0,Teen,Comics,31-Jul-18,Varies with device,Varies with device
Messenger â€“ Text and Video Chat for Free,COMMUNICATION,4,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,1-Aug-18,Varies with device,Varies with device
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",Paid,$3.99 ,Mature 17+,Dating,19-Jun-18,2.6.139,4.1 and up
Duolingo: Learn Languages Free,EDUCATION,4.7,6289924,Varies with device,"100,000,000+",Free,0,Everyone,Education;Education,1-Aug-18,Varies with device,Varies with device
Netflix,ENTERTAINMENT,4.4,5456208,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,31-Jul-18,Varies with device,Varies with device
All Events in City,EVENTS,4,3782,9.5M,"100,000+",Free,0,Everyone,Events,12-Jun-18,8.4,4.0.3 and up
K PLUS,FINANCE,4.4,124424,Varies with device,"10,000,000+",Free,0,Everyone,Finance,26-Jun-18,4.6.0,4.2 and up
McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",Free,0,Everyone,Food & Drink,31-Jul-18,5.15.0,4.4 and up
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15M,"10,000,000+",Free,0,Everyone,Health & Fitness,28-Jun-18,Varies with device,Varies with device
Zillow: Find Houses for Sale & Apartments for Rent,HOUSE_AND_HOME,4.5,417907,34M,"10,000,000+",Free,0,Everyone,House & Home,1-Aug-18,9.8.1.7425,4.4 and up
Public Digital Library,LIBRARIES_AND_DEMO,3.9,2087,Varies with device,"50,000+",Free,0,Everyone,Libraries & Demo,30-Jul-18,Varies with device,Varies with device
Dollhouse Decorating Games,LIFESTYLE,4.1,18968,32M,"5,000,000+",Free,0,Teen,Lifestyle,26-Apr-18,5.1,4.1 and up
ROBLOX,GAME,4.5,4447388,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
YouTube Kids,FAMILY,4.5,470694,Varies with device,"50,000,000+",Free,0,Everyone,Entertainment;Music & Video,3-Aug-18,3.43.3,4.1 and up
Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,$9.00 ,Everyone,Medical,16-Jul-18,2.0.7,4.0 and up
Instagram,SOCIAL,4.5,66577313,Varies with device,"1,000,000,000+",Free,0,Teen,Social,31-Jul-18,Varies with device,Varies with device
Amazon for Tablets,SHOPPING,4,141613,22M,"10,000,000+",Free,0,Teen,Shopping,31-Jul-18,16.14.0.850,4.4 and up
TouchNote: Cards & Gifts,PHOTOGRAPHY,4.1,19232,28M,"1,000,000+",Free,0,Everyone,Photography,6-Aug-18,7.4.2,4.4 and up
ESPN,SPORTS,4.2,521138,Varies with device,"10,000,000+",Free,0,Everyone 10+,Sports,19-Jul-18,Varies with device,5.0 and up
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626,14M,"10,000,000+",Free,0,Everyone,Travel & Local,6-Aug-18,18.30.0,5.0 and up
Moto File Manager,TOOLS,4.1,38655,5.9M,"10,000,000+",Free,0,Everyone,Tools,1-Feb-18,v3.7.93,5.0 and up
Nova Launcher,PERSONALIZATION,4.6,1121805,Varies with device,"50,000,000+",Free,0,Everyone,Personalization,14-May-18,Varies with device,Varies with device
Microsoft Word,PRODUCTIVITY,4.5,2084126,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,11-Jul-18,16.0.10325.20043,4.4 and up
Baby Names,PARENTING,4.5,86,2.8M,"10,000+",Free,0,Everyone,Parenting,3-Aug-18,1.7,4.0.3 and up
The Weather Channel: Rain Forecast & Storm Alerts,WEATHER,4.4,1558437,Varies with device,"50,000,000+",Free,0,Everyone,Weather,1-Aug-18,Varies with device,Varies with device
YouTube,VIDEO_PLAYERS,4.3,25655305,Varies with device,"1,000,000,000+",Free,0,Teen,Video Players & Editors,2-Aug-18,Varies with device,Varies with device
"Fox News â€“ Breaking News, Live Video & News Alerts",NEWS_AND_MAGAZINES,4.5,249919,Varies with device,"10,000,000+",Free,0,Everyone 10+,News & Magazines,30-Jul-18,Varies with device,Varies with device
"Waze - GPS, Maps, Traffic Alerts & Live Navigation",MAPS_AND_NAVIGATION,4.6,7232629,Varies with device,"100,000,000+",Free,0,Everyone,Maps & Navigation,29-Jul-18,Varies with device,Varies with device